gene	Kinetic_class	cluster	C6_12h	C6_1h	C6_2h	C6_4h	C6_6h	C6_8h	NRK_1h	NRK_2h	PC_12_0.5h	PC_12_1.5h	PC_12_12h	PC_12_1h	PC_12_2.5h	PC_12_2h	PC_12_4h	PC_12_6h	PC_12_8h	PK_15_12h	PK_15_1h	PK_15_2h	PK_15_4h	PK_15_6h	PK_15_8h
EP0	E	cluster_4	0.00511556240605393	0	0.0339425587468078	0	0.000170940171490741	0.000169539417497396	0	0	0	0	0.00155799808151724	0	0	0.0346205059933263	0.00722510724632874	0.00614288664064446	0.00456621004352396	0.000809051058107655	0.130434782613221	0	0.0219263333084394	0.0073258562829242	0.00534459108729647
ELIE	E		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.16208953748677e-05	0	0	0	0	0	0	0
IE180	IE	cluster_4	0.00245300462481082	0	0.00261096605744676	0	0.00136752136796182	0.000734670810905875	0	0.00578034682127385	0	0	0.000811012697911888	0.00502512562776655	0.00141442715695547	0.0039946737705335	0.00158049221125904	0.00103241792299271	0.00126533531782873	0.000170835482866277	0.0217391304342977	0	0.00622331572762566	0.00307878388021368	0.00191182846284498
NOIR	E	cluster_3	0.00133127889326542	0	0	0.00199004975261165	0.00205128205194273	0.00237355185021502	0	0	0	0	0.00188880589242533	0.00502512562776655	0.0042432814708664	0	0.00112892301061276	0.00154862688255214	0.00286075810306244	0.00142148014427956	0	0.00356887937167882	0.00419711990982641	0.00420583869257795	0.0041079436809464
US1	E	cluster_2	4.93066258723388e-05	0	0	0	0.000170940171490741	5.65131391657985e-05	0	0.00578034682127385	0	0	3.20136587166776e-05	0.00502512562776655	0	0	0.000677353807717218	0	5.50145793354259e-05	1.61165554923498e-05	0	0.000713775874730054	7.23641371139525e-05	8.24674253780835e-05	3.55358454198225e-05
AZURE	E		0	0	0	0	0.000170940171490741	0	0	0.00578034682127385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
US3	L	cluster_4	0	0.0057142857151122	0.00783289817234027	0	0.00222222222343348	0.00107374964590067	0.0175438596491228	0.00578034682127385	0	0.0214592274679277	0	0.0201005025133225	0.00141442715695547	0.00665778961356382	0	0.000671071649557876	0.00187049568018932	0	0.0217391304342977	0.0121341898644966	0.00151964686334944	0.000934630820383509	0.00147829115228809
US4	L	cluster_12	0.127494607086205	0.142857142859262	0.107049608355317	0.134328358204716	0.0947008546966704	0.102684374119828	0.175438596491228	0.104046242773999	0.142857142857143	0.120171673816903	0.0783801088471735	0.140703517588745	0.11315417256217	0.162450066572554	0.133664484072826	0.111449514764595	0.10518787478726	0.0764569365610806	0.173913043481817	0.0549607423285853	0.0899486214575508	0.084515366435106	0.130388122498989
US6	L	cluster_1	0.00396918335804721	0.0057142857151122	0.00261096605744676	0.00398009950143623	0.00700854700931781	0.00231703871104922	0	0	0	0	0.00159001173867051	0.0150753768855559	0	0.00266311584502633	0.0024836306192994	0.00366508362584934	0.00165043736456913	0.0020242392996915	0	0.00214132762221871	0.00130255445557282	0.00133322337666163	0.00255858084105953
US7	L	cluster_12	0.0160986132503769	0.0314285714303357	0.010443864229787	0.0199004975128617	0.027521367522799	0.0162757841200113	0.0175438596491228	0.0231213872833093	0	0.0085836909867831	0.0123999573159436	0.0201005025110662	0.0141442715695547	0.0213049267642026	0.0293519981904598	0.029269048109483	0.0159542278695522	0.0127546415670247	0.0434782608685955	0.00642398286862759	0.0248208987644756	0.0195035460993603	0.023993802550047
US8	L	cluster_4	0.0119445300453084	0.0200000000001113	0.00261096605744676	0.0228855721398857	0.0172649572611033	0.00926815484419689	0.0175438596491228	0.034682080925857	0	0.00858369098872302	0.00504748692853735	0.025125628141089	0.0042432814708664	0.0279627163777664	0.0106118762714192	0.00887879413618775	0.00775705561915592	0.00422253739109401	0.0652173913028932	0.0128479657392266	0.00926260944897668	0.00839793281795222	0.0115988998098864
US9	L	cluster_1	0.0134853620950061	0.00285714285662896	0.00261096605744676	0.0189054726365559	0.0123076923076923	0.00988979937852167	0.0175438596491228	0.0173410404620354	0	0.0171673819735662	0.0110553836295189	0.00502512562776655	0.0141442715695547	0.00532623169204866	0.00587039963989136	0.00800123890125657	0.0117181052968763	0.0164034296034381	0	0.0128479657411981	0.0079600549969691	0.01102314585603	0.0154154495651961
US2	L	cluster_5	0.0590446841296104	0.102857142857185	0	0.0606965174129975	0.0526495726467097	0.0655552415968728	0.12280701754386	0.0809248554906894	0.214285714285714	0.0901287553621925	0	0.150753768846534	0.0876944837350607	0.089214380823352	0.0386091668509431	0.0321598182950247	0	0.0137764311511518	0.0652173913028932	0.0713775874355478	0.0595556841994751	0.0233382813768847	0.0213143998368287
NOIR_2	E	cluster_3	0.0013436055497335	0	0	0.00199004975261165	0	0.00237355185021502	0	0	0	0	0.00188880589242533	0.00502512562776655	0.0042432814708664	0	0.00112892301061276	0.000619450752246089	0.00280574352372701	0.00142470345594146	0	0.00356887937167882	0.00419711990982641	0.00420583869257795	0.00411505085132671
