gene	Kinetic_class	hpi	Time	cell_line	group	mean	sd	varcoeff	cluster
UL47	L	1h	1	C6	C6_1h	0			cluster_1
UL47	L	2h	2	C6	C6_2h	0			cluster_1
UL47	L	4h	4	C6	C6_4h	0			cluster_1
UL47	L	6h	6	C6	C6_6h	0			cluster_1
UL47	L	8h	8	C6	C6_8h	225.9887			cluster_1
UL47	L	12h	12	NRK	NRK_12h	35.849682			cluster_1
UL47	L	1h	1	NRK	NRK_1h	0			cluster_1
UL47	L	2h	2	NRK	NRK_2h	0			cluster_1
UL47	L	4h	4	NRK	NRK_4h	0			cluster_1
UL47	L	6h	6	NRK	NRK_6h	134.535181			cluster_1
UL47	L	8h	8	NRK	NRK_8h	408.429995			cluster_1
UL47	L	0.5h	0.5	PC_12	PC_12_0.5h	0			cluster_1
UL47	L	1.5h	1.5	PC_12	PC_12_1.5h	0			cluster_1
UL47	L	12h	12	PC_12	PC_12_12h	546.048993			cluster_1
UL47	L	1h	1	PC_12	PC_12_1h	0			cluster_1
UL47	L	2.5h	2.5	PC_12	PC_12_2.5h	0			cluster_1
UL47	L	2h	2	PC_12	PC_12_2h	0			cluster_1
UL47	L	4h	4	PC_12	PC_12_4h	0			cluster_1
UL47	L	6h	6	PC_12	PC_12_6h	346.463409			cluster_1
UL47	L	8h	8	PC_12	PC_12_8h	255.656398			cluster_1
UL47	L	12h	12	PK_15	PK_15_12h	697.940505			cluster_1
UL47	L	1h	1	PK_15	PK_15_1h	0			cluster_1
UL47	L	2h	2	PK_15	PK_15_2h	0			cluster_1
UL47	L	4h	4	PK_15	PK_15_4h	40.594301			cluster_1
UL47	L	6h	6	PK_15	PK_15_6h	370.970733			cluster_1
UL47	L	8h	8	PK_15	PK_15_8h	543.862036			cluster_1
UL46	L	12h	12	C6	C6_12h	17938.442818			cluster_3
UL46	L	1h	1	C6	C6_1h	16949.152542			cluster_3
UL46	L	2h	2	C6	C6_2h	6195.786865			cluster_3
UL46	L	4h	4	C6	C6_4h	17866.526538			cluster_3
UL46	L	6h	6	C6	C6_6h	19404.915913			cluster_3
UL46	L	8h	8	C6	C6_8h	11460.855528			cluster_3
UL46	L	12h	12	NRK	NRK_12h	5063.767623			cluster_3
UL46	L	1h	1	NRK	NRK_1h	30303.030303			cluster_3
UL46	L	2h	2	NRK	NRK_2h	3236.245955			cluster_3
UL46	L	4h	4	NRK	NRK_4h	7629.107981			cluster_3
UL46	L	6h	6	NRK	NRK_6h	5650.4776			cluster_3
UL46	L	8h	8	NRK	NRK_8h	7841.855906			cluster_3
UL46	L	0.5h	0.5	PC_12	PC_12_0.5h	0			cluster_3
UL46	L	1.5h	1.5	PC_12	PC_12_1.5h	6637.168142			cluster_3
UL46	L	12h	12	PC_12	PC_12_12h	5112.383709			cluster_3
UL46	L	1h	1	PC_12	PC_12_1h	4454.342984			cluster_3
UL46	L	2.5h	2.5	PC_12	PC_12_2.5h	2220.57735			cluster_3
UL46	L	2h	2	PC_12	PC_12_2h	7338.225484			cluster_3
UL46	L	4h	4	PC_12	PC_12_4h	13049.588437			cluster_3
UL46	L	6h	6	PC_12	PC_12_6h	12632.58888			cluster_3
UL46	L	8h	8	PC_12	PC_12_8h	5081.170906			cluster_3
UL46	L	12h	12	PK_15	PK_15_12h	6594.965675			cluster_3
UL46	L	1h	1	PK_15	PK_15_1h	0			cluster_3
UL46	L	2h	2	PK_15	PK_15_2h	8689.355539			cluster_3
UL46	L	4h	4	PK_15	PK_15_4h	8524.803118			cluster_3
UL46	L	6h	6	PK_15	PK_15_6h	7758.127082			cluster_3
UL46	L	8h	8	PK_15	PK_15_8h	7916.701389			cluster_3
UL27	L	12h	12	C6	C6_12h	6063.403479			cluster_1
UL27	L	1h	1	C6	C6_1h	10785.824345			cluster_1
UL27	L	2h	2	C6	C6_2h	3717.472119			cluster_1
UL27	L	4h	4	C6	C6_4h	14188.124015			cluster_1
UL27	L	6h	6	C6	C6_6h	12074.169901			cluster_1
UL27	L	8h	8	C6	C6_8h	4164.648911			cluster_1
UL27	L	12h	12	NRK	NRK_12h	0			cluster_1
UL27	L	1h	1	NRK	NRK_1h	10101.010101			cluster_1
UL27	L	2h	2	NRK	NRK_2h	12944.983819			cluster_1
UL27	L	4h	4	NRK	NRK_4h	3521.12676			cluster_1
UL27	L	6h	6	NRK	NRK_6h	4305.12579			cluster_1
UL27	L	8h	8	NRK	NRK_8h	4819.473942			cluster_1
UL27	L	0.5h	0.5	PC_12	PC_12_0.5h	0			cluster_1
UL27	L	1.5h	1.5	PC_12	PC_12_1.5h	4424.778762			cluster_1
UL27	L	12h	12	PC_12	PC_12_12h	7050.857638			cluster_1
UL27	L	1h	1	PC_12	PC_12_1h	4454.342984			cluster_1
UL27	L	2.5h	2.5	PC_12	PC_12_2.5h	1480.3849			cluster_1
UL27	L	2h	2	PC_12	PC_12_2h	5336.891261			cluster_1
UL27	L	4h	4	PC_12	PC_12_4h	7127.082916			cluster_1
UL27	L	6h	6	PC_12	PC_12_6h	6342.945472			cluster_1
UL27	L	8h	8	PC_12	PC_12_8h	0			cluster_1
UL27	L	12h	12	PK_15	PK_15_12h	9578.947369			cluster_1
UL27	L	1h	1	PK_15	PK_15_1h	0			cluster_1
UL27	L	2h	2	PK_15	PK_15_2h	4706.734252			cluster_1
UL27	L	4h	4	PK_15	PK_15_4h	2882.195339			cluster_1
UL27	L	6h	6	PK_15	PK_15_6h	3282.284535			cluster_1
UL27	L	8h	8	PK_15	PK_15_8h	8973.723567			cluster_1
UL28	E	12h	12	C6	C6_12h	41.96127			cluster_2
UL28	E	1h	1	C6	C6_1h	0			cluster_2
UL28	E	2h	2	C6	C6_2h	0			cluster_2
