gene	Kinetic_class	cluster	C6_12h	C6_1h	C6_2h	C6_4h	C6_6h	C6_8h	NRK_12h	NRK_1h	NRK_2h	NRK_4h	NRK_6h	NRK_8h	PC_12_0.5h	PC_12_1.5h	PC_12_12h	PC_12_1h	PC_12_2.5h	PC_12_2h	PC_12_4h	PC_12_6h	PC_12_8h	PK_15_12h	PK_15_1h	PK_15_2h	PK_15_4h	PK_15_6h	PK_15_8h
US1	E	cluster_2	27.97418	0	0	0	86.244071	32.2841	0	0	0	0	134.535181	81.685999	0	0	20.476837	2227.171492	0	0	301.14435	0	31.95705	11.441648	0	362.056481	40.594301	48.387487	21.929921
AZURE	E		0	0	0	0	86.244071	0	0	0	3236.245955	0	134.535181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
US3	L	cluster_2	0	3081.664099	3717.472119	0	1121.17292	613.397901	510.857973	10101.010101	3236.245955	586.85446	1883.492533	1306.975984	0	11061.946903	0	8908.685969	740.19245	3335.557038	0	346.463408	1086.53969	0	2923.976608	6154.960174	852.480312	548.391519	912.284703
US4	L	cluster_7	72334.235502	77041.602465	50805.452293	70940.620074	47779.215178	58660.209846	50709.375589	101010.10101	58252.427185	78051.643192	74532.490247	72700.539128	64516.129032	61946.902655	50134.123285	62360.801781	59215.396003	81387.591728	59425.818111	57539.576781	61101.879076	54279.176199	23391.812865	27878.349024	50458.715596	49589.10959	80465.265198
US6	L	cluster_1	2251.921476	3081.664099	1239.157373	2101.944298	3536.0069	1323.648103	815.580272	0	0	586.85446	1210.816629	1306.975984	0	0	1017.016252	6681.514477	0	1334.222815	1104.195946	1892.223229	958.711491	1437.070939	0	1086.169442	730.697411	782.264373	1578.954294
US7	L	cluster_7	9133.569715	16949.152543	4956.629492	10509.721493	13885.295387	9297.820823	10432.257543	10101.010101	12944.983819	11150.234741	14126.194	15030.22382	0	4424.778761	7931.361642	8908.685968	7401.9245	10673.782522	13049.588436	15111.1348	9267.54442	9054.919908	5847.953216	3258.508327	13923.845094	11443.640674	14807.082488
US8	L	cluster_5	6776.745064	10785.824345	1239.157373	12086.179717	8710.651141	5294.592412	4579.796912	10101.010101	19417.475729	9389.671361	11973.631105	14376.735827	0	4424.778762	3228.514679	11135.857461	2220.57735	14009.33956	4717.928128	4583.9774	4505.944011	2997.711671	8771.929824	6517.016655	5196.070471	4927.459093	7157.926131
US9	L	cluster_1	7650.938184	1540.832049	1239.157373	9984.235418	6209.573092	5649.717514	11274.725077	10101.010101	9708.737864	12910.798122	13857.123638	9720.633883	0	8849.557522	7071.334475	2227.171492	7401.9245	2668.445631	2609.917688	4130.909866	6806.851591	11645.308925	0	6517.016656	4465.373062	6467.794094	9513.19962
US2	L	cluster_6	33499.08035	55469.953774	0	32054.650553	26563.173781	37449.556094	0	70707.070707	45307.443366	29929.577464	25023.543657	24995.9157	96774.193548	46460.176991	0	66815.144766	45891.931902	44696.46431	17165.227866	16603.592559	0	9780.320367	8771.929824	36205.648081	33409.109361	13693.658818	13153.566464
NOIR_2	E	cluster_3	762.296402	0	0	1050.97215	0	1355.932203	1505.686655	0	0	2934.2723	0	1143.603986	0	0	1208.133401	2227.171492	2220.57735	0	501.907249	319.812376	1629.809537	1011.441648	0	1810.282404	2354.469434	2467.761836	2539.484822
