dcDNA_TC_ID	seqnames	strand	transcript_id	exon_number	start.TR	end.TR	start.exon	end.exon	start	end	prime5.TR	prime5.ex	prime3.TR	prime3.ex	last_exon	source	TC.start	TC.end	support	score	consensus_peak	dcDNA_TC_significance
TC_1143	LT934125.1	+	US2.3-S2	1	125609	126151	125609	126151	125609	126151	125609	125609	126151	126151	TRUE	NAGATA	125535	125938	20	26097.115759	125728	***
TC_1143	LT934125.1	+	US2.3-S3	1	125729	126151	125729	126151	125729	126151	125729	125729	126151	126151	TRUE	NAGATA	125535	125938	20	26097.115759	125728	***
TC_1174	LT934125.1	+	NOIR_2-2	1	132614	133513	132614	133513	132614	133513	132614	132614	133513	133513	TRUE	NAGATA	132588	132630	18	14379.302671	132613	***
TC_118	LT934125.1	+	UL46-L8	1	12812	16224	12812	16224	12812	16224	12812	12812	16224	16224	TRUE	NAGATA	12790	12901	7	391.071812	12845	**
TC_12	LT934125.1	+	ORF-1M1	1	1335	2273	1335	2273	1335	2273	1335	1335	2273	2273	TRUE	NAGATA	1313	1368	26	300558.073909	1337	***
TC_1200	LT934125.1	+	IE180_2	1	136158	141356	136158	141356	136158	141356	136158	136158	141356	141356	TRUE	NAGATA	136143	136184	19	233676.540299	136158	***
TC_1202	LT934125.1	+	IE180_2-S	1	136348	141356	136348	141356	136348	141356	136348	136348	141356	141356	TRUE	NAGATA	136312	136365	19	28537.151266	136348	***
TC_121	LT934125.1	+	UL46-L7	1	13177	16224	13177	16224	13177	16224	13177	13177	16224	16224	TRUE	NAGATA	13165	13187	2	90.565131	13176	*
TC_121	LT934125.1	+	UL47.3	1	13166	14176	13166	14176	13166	14176	13166	13166	14176	14176	TRUE	NAGATA	13165	13187	2	90.565131	13176	*
TC_126	LT934125.1	+	UL46-L5	1	13539	16224	13539	16224	13539	16224	13539	13539	16224	16224	TRUE	NAGATA	13500	13549	8	250.058057	13523	**
TC_126	LT934125.1	+	UL46-L6	1	13521	16224	13521	16224	13521	16224	13521	13521	16224	16224	TRUE	NAGATA	13500	13549	8	250.058057	13523	**
TC_127	LT934125.1	+	UL46-L4	1	13569	16224	13569	16224	13569	16224	13569	13569	16224	16224	TRUE	NAGATA	13559	13601	5	133.798417	13580	*
TC_129	LT934125.1	+	UL46-L3	1	13746	16224	13746	16224	13746	16224	13746	13746	16224	16224	TRUE	NAGATA	13655	13747	5	285.473282	13698	**
TC_1290	LT934125.1	-	UL54.3	1	2778	3281	2778	3281	2778	3281	3281	3281	2778	2778	TRUE	NAGATA	3070	3361	16	8546.756377	3251	***
TC_1290	LT934125.1	-	UL54.3-S	1	2778	3172	2778	3172	2778	3172	3172	3172	2778	2778	TRUE	NAGATA	3070	3361	16	8546.756377	3251	***
TC_1290	LT934125.1	-	UL54.3-S2	1	2778	3141	2778	3141	2778	3141	3141	3141	2778	2778	TRUE	NAGATA	3070	3361	16	8546.756377	3251	***
TC_1290	LT934125.1	-	UL54.4	1	2778	3351	2778	3351	2778	3351	3351	3351	2778	2778	TRUE	NAGATA	3070	3361	16	8546.756377	3251	***
TC_1291	LT934125.1	-	UL54.5-S2	1	2778	3429	2778	3429	2778	3429	3429	3429	2778	2778	TRUE	NAGATA	3379	3514	17	7618.110465	3442	***
TC_1294	LT934125.1	-	UL54.5-S	1	2778	3640	2778	3640	2778	3640	3640	3640	2778	2778	TRUE	NAGATA	3624	3711	12	2997.785338	3671	***
TC_1297	LT934125.1	-	UL54	1	2778	3910	2778	3910	2778	3910	3910	3910	2778	2778	TRUE	NAGATA	3888	3927	24	100823.12697	3910	***
TC_1308	LT934125.1	-	UL54-L	1	2778	4687	2778	4687	2778	4687	4687	4687	2778	2778	TRUE	NAGATA	4654	4699	4	168.410062	4681	**
TC_131	LT934125.1	+	UL46-L2	1	13793	16224	13793	16224	13793	16224	13793	13793	16224	16224	TRUE	NAGATA	13783	13827	3	114.758874	13805	*
TC_1311	LT934125.1	-	UL53-54	1	2778	4925	2778	4925	2778	4925	4925	4925	2778	2778	TRUE	NAGATA	4904	4938	16	5181.911203	4925	***
TC_1322	LT934125.1	-	UL53L-54	1	2778	5969	2778	5969	2778	5969	5969	5969	2778	2778	TRUE	NAGATA	5956	5976	1	86.244071	5966	*
TC_1330	LT934125.1	-	UL52-53-54	1	2778	7758	2778	7758	2778	7758	7758	7758	2778	2778	TRUE	NAGATA	7748	7777	14	5466.986196	7759	***
TC_134	LT934125.1	+	UL46-L	1	13944	16224	13944	16224	13944	16224	13944	13944	16224	16224	TRUE	NAGATA	13934	13954	2	68.054255	13944	*
TC_1341	LT934125.1	-	UL50.1-S	1	8487	8997	8487	8997	8487	8997	8997	8997	8487	8487	TRUE	NAGATA	8986	9016	12	2247.850708	8997	***
TC_1342	LT934125.1	-	UL50.1	1	8487	9058	8487	9058	8487	9058	9058	9058	8487	8487	TRUE	NAGATA	9027	9069	20	7545.772876	9056	***
TC_1345	LT934125.1	-	UL50S	1	8487	9214	8487	9214	8487	9214	9214	9214	8487	8487	TRUE	NAGATA	9202	9228	15	2924.549715	9214	***
TC_1349	LT934125.1	-	UL50	1	8487	9494	8487	9494	8487	9494	9494	9494	8487	8487	TRUE	NAGATA	9479	9511	25	210392.944152	9494	***
TC_1350	LT934125.1	-	UL50L	1	8487	9590	8487	9590	8487	9590	9590	9590	8487	8487	TRUE	NAGATA	9578	9611	15	2351.489266	9590	***
TC_1352	LT934125.1	-	UL50-L3	1	8487	9752	8487	9752	8487	9752	9752	9752	8487	8487	TRUE	NAGATA	9744	9765	5	267.568224	9754	**
TC_1353	LT934125.1	-	UL50-L4	1	8487	9800	8487	9800	8487	9800	9800	9800	8487	8487	TRUE	NAGATA	9790	9810	1	31.95705	9800	*
TC_136	LT934125.1	+	UL46	1	14048	16224	14048	16224	14048	16224	14048	14048	16224	16224	TRUE	NAGATA	14030	14064	25	245550.164267	14048	***
TC_1392	LT934125.1	-	UL27.2	1	16583	16878	16583	16878	16583	16878	16878	16878	16583	16583	TRUE	NAGATA	16667	17057	20	22235.871398	16858	***
TC_1392	LT934125.1	-	UL27.3	1	16583	16970	16583	16970	16583	16970	16970	16970	16583	16583	TRUE	NAGATA	16667	17057	20	22235.871398	16858	***
TC_1392	LT934125.1	-	UL27.3-L	1	16583	16928	16583	16928	16583	16928	16928	16928	16583	16583	TRUE	NAGATA	16667	17057	20	22235.871398	16858	***
TC_1392	LT934125.1	-	UL27.4-S4	1	16583	17024	16583	17024	16583	17024	17024	17024	16583	16583	TRUE	NAGATA	16667	17057	20	22235.871398	16858	***
TC_1393	LT934125.1	-	UL27.4-S	1	16583	17159	16583	17159	16583	17159	17159	17159	16583	16583	TRUE	NAGATA	17053	17169	17	7188.105049	17110	***
TC_1393	LT934125.1	-	UL27.4-S2	1	16583	17132	16583	17132	16583	17132	17132	17132	16583	16583	TRUE	NAGATA	17053	17169	17	7188.105049	17110	***
