seqnames	strand	TSS	TES	NOV_TX_ID	C6_dRNA	C6_dcDNA_12h	C6_dcDNA_1h	C6_dcDNA_2h	C6_dcDNA_4h	C6_dcDNA_6h	C6_dcDNA_8h	NRK_dcDNA_12h	NRK_dcDNA_1h	NRK_dcDNA_2h	NRK_dcDNA_4h	NRK_dcDNA_6h	NRK_dcDNA_8h	PC_12_dRNA	PC_12_dcDNA_0.5h	PC_12_dcDNA_1.5h	PC_12_dcDNA_12h	PC_12_dcDNA_1h	PC_12_dcDNA_2.5h	PC_12_dcDNA_2h	PC_12_dcDNA_4h	PC_12_dcDNA_6h	PC_12_dcDNA_8h	PK_15_dRNA	PK_15_dcDNA_12h	PK_15_dcDNA_1h	PK_15_dcDNA_2h	PK_15_dcDNA_4h	PK_15_dcDNA_6h	PK_15_dcDNA_8h
LT934125.1	+	31703	32415	NOV_TX_486	2	94	0	0	0	1	2	12	0	1	3	3	1	6	0	0	32	0	0	2	1	5	10	31	27	0	1	2	12	17
LT934125.1	+	31772	32415	NOV_TX_488	3	225	0	1	0	0	0	0	0	0	2	17	0	10	0	1	0	0	0	0	3	0	121	26	235	0	2	23	0	0
LT934125.1	+	31832	32415	NOV_TX_491	1	0	1	1	0	0	0	301	0	0	2	0	0	1	0	2	0	1	1	0	0	0	0	24	0	0	3	3	0	0
LT934125.1	+	31865	32415	NOV_TX_493	2	204	0	0	1	0	73	0	0	1	0	0	0	5	0	0	202	0	0	0	8	0	0	43	375	0	1	16	153	338
LT934125.1	+	31943	32415	NOV_TX_496	2	0	1	0	0	4	0	0	0	0	0	0	0	8	0	0	0	0	1	0	9	40	0	37	0	1	0	14	0	0
LT934125.1	+	31994	32415	NOV_TX_499	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
LT934125.1	+	32038	32276	NOV_TX_501	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3	1	0	2	0	0	0	1	2
LT934125.1	+	32038	32415	NOV_TX_500	60	17175	3	7	63	374	2217	15666	0	2	100	815	1177	184	0	2	26200	0	21	15	457	2640	4051	927	51602	1	162	887	8667	19859
LT934125.1	+	32092	32415	NOV_TX_502	15	746	1	0	0	11	96	387	0	1	3	22	39	29	0	0	811	0	1	2	23	98	163	144	914	0	10	21	199	479
LT934125.1	+	44030	46038	NOV_TX_520	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
LT934125.1	+	44812	49647	NOV_TX_531	0	59	0	0	2	10	5	71	0	0	0	1	18	5	0	0	24	0	0	0	1	0	12	8	59	0	0	0	4	37
LT934125.1	+	44870	46038	NOV_TX_533	0	6	0	0	0	1	19	0	0	0	1	0	2	2	0	0	64	0	1	0	5	23	11	19	289	0	0	0	54	78
LT934125.1	+	44946	46038	NOV_TX_538	2	24	0	0	1	0	8	27	0	1	1	2	4	2	0	0	58	0	0	0	2	8	0	13	134	0	1	12	41	79
LT934125.1	+	44972	46038	NOV_TX_540	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
