seqnames	strand	start	end	TSS	TES	NOV_TX_ID	C6_dcDNA_12h	C6_dcDNA_1h	C6_dcDNA_2h	C6_dcDNA_4h	C6_dcDNA_6h	C6_dcDNA_8h	NRK_dcDNA_12h	NRK_dcDNA_1h	NRK_dcDNA_2h	NRK_dcDNA_4h	NRK_dcDNA_6h	NRK_dcDNA_8h	PC-12_dcDNA_1.5h	PC-12_dcDNA_12h	PC-12_dcDNA_1h	PC-12_dcDNA_2.5h	PC-12_dcDNA_2h	PC-12_dcDNA_4h	PC-12_dcDNA_6h	PC-12_dcDNA_8h	PK-15_dcDNA_12h	PK-15_dcDNA_1h	PK-15_dcDNA_2h	PK-15_dcDNA_4h	PK-15_dcDNA_6h	PK-15_dcDNA_8h
LT934125.1	+	47872	49647	47872	49647	NOV_TX_180	0	0	0	0	0	0	10	0	0	0	0	0	0	10	0	0	0	0	0	0	9	0	0	0	0	0
LT934125.1	+	48069	49647	48069	49647	NOV_TX_182	33	0	0	0	0	6	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	7	10
LT934125.1	+	48210	49647	48210	49647	NOV_TX_183	0	0	0	0	0	10	11	0	0	0	0	0	0	31	0	0	0	0	8	6	29	0	0	0	14	27
LT934125.1	+	48330	49647	48330	49647	NOV_TX_184	170	0	0	0	0	9	20	0	0	0	0	27	0	160	0	0	0	0	12	0	20	0	0	5	0	25
LT934125.1	+	48477	49647	48477	49647	NOV_TX_185	70	0	0	0	0	0	63	0	0	0	0	0	0	136	0	0	0	0	0	54	96	0	7	0	48	92
LT934125.1	+	48615	49647	48615	49647	NOV_TX_187	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0
LT934125.1	+	48691	49647	48691	49647	NOV_TX_189	199	0	0	0	0	58	0	0	0	0	0	0	0	148	0	0	0	0	0	57	85	0	0	24	54	126
LT934125.1	+	48726	49647	48726	49647	NOV_TX_190	0	0	0	0	8	0	60	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	48783	49647	48783	49647	NOV_TX_191	111	0	0	0	0	28	67	0	0	0	0	23	0	0	0	0	0	5	0	0	0	0	0	16	0	73
LT934125.1	+	48856	49647	48856	49647	NOV_TX_192	248	0	0	0	8	14	35	0	0	0	8	0	0	100	0	0	0	14	0	0	62	0	0	20	36	58
LT934125.1	+	48957	49647	48957	49647	NOV_TX_193	119	0	0	0	0	40	74	0	0	6	8	29	0	158	0	0	0	9	23	40	93	0	11	18	44	72
LT934125.1	+	49115	49647	49115	49647	NOV_TX_195	158	0	0	0	0	0	77	0	0	0	20	0	0	210	0	0	0	0	37	54	49	0	6	22	61	91
LT934125.1	+	49196	49647	49196	49647	NOV_TX_196	68	0	0	0	0	17	52	0	0	11	12	13	0	80	0	0	0	0	22	67	51	0	0	52	0	42
LT934125.1	+	49285	49647	49285	49647	NOV_TX_197	0	0	0	0	6	18	615	0	0	0	64	132	0	79	0	0	0	44	16	28	454	0	14	88	251	456
LT934125.1	+	49411	49647	49411	49647	NOV_TX_198	379	0	0	0	0	67	128	0	0	0	0	25	0	345	0	0	0	0	46	131	0	0	0	44	106	183
LT934125.1	+	49499	49647	49499	49647	NOV_TX_199	668	0	0	0	0	197	101	0	0	0	14	0	0	560	0	0	0	0	85	105	249	0	12	102	224	311
LT934125.1	+	49543	49647	49543	49647	NOV_TX_200	179	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	40	0
LT934125.1	+	51148	52437	51148	52437	NOV_TX_203	20	0	0	0	0	5	14	0	0	0	0	0	0	19	0	0	0	0	6	0	101	0	0	0	18	47
LT934125.1	+	51235	53594	51235	53594	NOV_TX_206	142	0	0	0	19	22	195	0	0	0	6	60	0	29	0	0	5	9	14	15	68	0	0	8	40	90
LT934125.1	+	51319	52437	51319	52437	NOV_TX_208	34	0	0	0	0	0	41	0	0	0	0	0	0	42	0	0	0	0	16	14	61	0	0	10	33	70
LT934125.1	+	51517	52437	51517	52437	NOV_TX_211	0	0	0	0	0	10	73	0	0	0	0	23	0	36	0	0	0	0	12	6	196	0	6	16	43	128
LT934125.1	+	51690	52437	51690	52437	NOV_TX_214	53	0	0	0	0	8	51	0	0	0	0	0	0	0	0	0	0	0	14	17	112	0	0	9	32	43
LT934125.1	+	51806	52437	51806	52437	NOV_TX_217	72	0	0	0	0	0	31	0	0	0	0	0	0	27	0	0	0	0	11	24	182	0	0	0	66	93
LT934125.1	+	52004	52437	52004	52437	NOV_TX_220	0	0	0	0	5	14	48	0	0	0	0	14	0	59	0	0	0	0	20	7	182	0	0	7	19	104
LT934125.1	+	52082	52437	52082	52437	NOV_TX_223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	55	0
LT934125.1	+	52121	52437	52121	52437	NOV_TX_226	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	92
LT934125.1	+	52215	52437	52215	52437	NOV_TX_228	0	0	0	0	5	14	35	0	0	0	0	0	0	0	0	0	0	9	17	23	172	0	0	8	58	163
LT934125.1	+	52460	53594	52460	53594	NOV_TX_231	583	16	25	14	161	248	882	11	28	18	66	279	14	769	13	20	40	106	342	374	1882	0	179	258	762	1946
LT934125.1	+	52559	53594	52559	53594	NOV_TX_233	8	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	10	21
LT934125.1	+	52559	55161	52559	55161	NOV_TX_234	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	52636	53594	52636	53594	NOV_TX_235	0	0	0	0	0	0	8	0	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	8
LT934125.1	+	52704	53594	52704	53594	NOV_TX_237	8	0	0	0	0	5	12	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	13	9	22
LT934125.1	+	52824	53594	52824	53594	NOV_TX_239	0	0	0	0	0	5	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
