seqnames,strand,transcript_id,start,end,prime5,prime3,exon_number,exon_count,start.transcript,end.transcript
LT934125.1,+,10369,51248,52439,51248,52439,1,1,51248,52439
LT934125.1,+,10370,31603,31852,31603,31852,1,1,31603,31852
LT934125.1,+,10371,119701,120477,119701,120477,1,1,119701,120477
LT934125.1,+,10373,125234,126148,125234,126148,1,1,125234,126148
LT934125.1,+,10374,120568,122909,120568,122909,1,1,120568,122909
LT934125.1,+,10375,120137,120474,120137,120474,1,1,120137,120474
LT934125.1,+,10376,86063,86167,86063,86167,1,1,86063,86167
LT934125.1,+,10378,123566,126151,123566,126151,1,1,123566,126151
LT934125.1,+,1038,125042,125797,125042,125797,1,1,125042,125797
LT934125.1,+,10380,74998,75651,74998,75651,1,1,74998,75651
LT934125.1,+,10381,30234,32394,30234,32394,1,1,30234,32394
LT934125.1,+,10384,52457,53580,52457,53580,1,1,52457,53580
LT934125.1,+,10386,118972,120469,118972,120469,1,1,118972,120469
LT934125.1,+,10387,51529,52434,51529,52434,1,1,51529,52434
LT934125.1,+,10389,70730,71541,70730,71541,1,1,70730,71541
LT934125.1,+,1039,65818,70521,65818,70521,1,1,65818,70521
LT934125.1,+,10390,10094,10426,10094,10426,1,1,10094,10426
LT934125.1,+,10393,79646,79996,79646,79996,1,1,79646,79996
LT934125.1,+,10394,53291,53595,53291,53595,1,1,53291,53595
LT934125.1,+,10395,8503,10430,8503,10430,1,1,8503,10430
LT934125.1,+,10396,46247,49635,46247,49635,1,1,46247,49635
LT934125.1,+,10398,71244,71530,71244,71530,1,1,71244,71530
LT934125.1,+,10399,52747,53604,52747,53604,1,1,52747,53604
LT934125.1,+,104,44823,46024,44823,46024,1,1,44823,46024
LT934125.1,+,1040,119928,120466,119928,120466,1,1,119928,120466
LT934125.1,+,10402,121834,122915,121834,122915,1,1,121834,122915
LT934125.1,+,10404,119655,120477,119655,120477,1,1,119655,120477
LT934125.1,+,10405,124766,126142,124766,126142,1,1,124766,126142
LT934125.1,+,10406,59103,60251,59103,60251,1,1,59103,60251
LT934125.1,+,10407,70884,71531,70884,71531,1,1,70884,71531
LT934125.1,+,10409,15864,16224,15864,16224,1,1,15864,16224
LT934125.1,+,1041,67594,70521,67594,70521,1,1,67594,70521
LT934125.1,+,10412,125707,126151,125707,126151,1,1,125707,126151
LT934125.1,+,10414,48592,49647,48592,49647,1,1,48592,49647
LT934125.1,+,10416,31216,32415,31216,32415,1,1,31216,32415
LT934125.1,+,10419,14230,16211,14230,16211,1,1,14230,16211
LT934125.1,+,1042,75173,75650,75173,75650,1,1,75173,75650
LT934125.1,+,10420,78056,79997,78056,79997,1,1,78056,79997
LT934125.1,+,10422,15781,16209,15781,16209,1,1,15781,16209
LT934125.1,+,10423,79307,79993,79307,79993,1,1,79307,79993
LT934125.1,+,10424,124792,125233,124792,125233,1,1,124792,125233
LT934125.1,+,10425,31110,32394,31110,32394,1,1,31110,32394
LT934125.1,+,10426,15544,16224,15544,16224,1,1,15544,16224
LT934125.1,+,10427,49307,49644,49307,49644,1,1,49307,49644
LT934125.1,+,10430,61412,62340,61412,62340,1,1,61412,62340
LT934125.1,+,10431,91350,92052,91350,92052,1,1,91350,92052
LT934125.1,+,10433,15219,16212,15219,16212,1,1,15219,16212
LT934125.1,+,10434,51252,52410,51252,52410,1,1,51252,52410
LT934125.1,+,10436,1713,2273,1713,2273,1,1,1713,2273
LT934125.1,+,10437,53663,55159,53663,55159,1,1,53663,55159
LT934125.1,+,10438,7670,8520,7670,8520,1,1,7670,8520
LT934125.1,+,1044,61572,62340,61572,62340,1,1,61572,62340
LT934125.1,+,10441,79455,79986,79455,79986,1,1,79455,79986
LT934125.1,+,10442,125365,126151,125365,126151,1,1,125365,126151
LT934125.1,+,10443,75000,75652,75000,75652,1,1,75000,75652
LT934125.1,+,10446,71376,71530,71376,71530,1,1,71376,71530
LT934125.1,+,10447,14825,16211,14825,16211,1,1,14825,16211
LT934125.1,+,10448,125761,126151,125761,126151,1,1,125761,126151
