gene	Kinetic_class	hpi	Time	cell_line	group	mean	sd	varcoeff	cluster
UL28	E	0.5h	0.5	PC_12	PC_12_0.5h	0			cluster_6
UL28	E	1.5h	1.5	PC_12	PC_12_1.5h	0			cluster_6
UL28	E	12h	12	PC_12	PC_12_12h	16.232405			cluster_6
UL28	E	1h	1	PC_12	PC_12_1h	0			cluster_6
UL28	E	2.5h	2.5	PC_12	PC_12_2.5h	0			cluster_6
UL28	E	2h	2	PC_12	PC_12_2h	0			cluster_6
UL28	E	4h	4	PC_12	PC_12_4h	0			cluster_6
UL28	E	6h	6	PC_12	PC_12_6h	0			cluster_6
UL28	E	8h	8	PC_12	PC_12_8h	22.858188			cluster_6
UL28	E	12h	12	PK_15	PK_15_12h	9.263004			cluster_6
UL28	E	1h	1	PK_15	PK_15_1h	0			cluster_6
UL28	E	2h	2	PK_15	PK_15_2h	0			cluster_6
UL28	E	4h	4	PK_15	PK_15_4h	0			cluster_6
UL28	E	6h	6	PK_15	PK_15_6h	0			cluster_6
UL28	E	8h	8	PK_15	PK_15_8h	0			cluster_6
UL29	E	12h	12	C6	C6_12h	11482.973984			cluster_1
UL29	E	1h	1	C6	C6_1h	24787.997392			cluster_1
UL29	E	2h	2	C6	C6_2h	18301.982716			cluster_1
UL29	E	4h	4	C6	C6_4h	11911.514463			cluster_1
UL29	E	6h	6	C6	C6_6h	11126.261249			cluster_1
UL29	E	8h	8	C6	C6_8h	15788.76728			cluster_1
UL29	E	12h	12	NRK	NRK_12h	8915.995868			cluster_1
UL29	E	1h	1	NRK	NRK_1h	26315.789472			cluster_1
UL29	E	2h	2	NRK	NRK_2h	23692.810458			cluster_1
UL29	E	4h	4	NRK	NRK_4h	12123.04895			cluster_1
UL29	E	6h	6	NRK	NRK_6h	7497.294788			cluster_1
UL29	E	8h	8	NRK	NRK_8h	12992.81614			cluster_1
UL29	E	0.5h	0.5	PC_12	PC_12_0.5h	16666.666667			cluster_1
UL29	E	1.5h	1.5	PC_12	PC_12_1.5h	23106.546854			cluster_1
UL29	E	12h	12	PC_12	PC_12_12h	8489.547683			cluster_1
UL29	E	1h	1	PC_12	PC_12_1h	37347.560977			cluster_1
UL29	E	2.5h	2.5	PC_12	PC_12_2.5h	25409.130059			cluster_1
UL29	E	2h	2	PC_12	PC_12_2h	28758.169933			cluster_1
UL29	E	4h	4	PC_12	PC_12_4h	14258.506203			cluster_1
UL29	E	6h	6	PC_12	PC_12_6h	11902.169038			cluster_1
UL29	E	8h	8	PC_12	PC_12_8h	14332.083752			cluster_1
UL29	E	12h	12	PK_15	PK_15_12h	3025.914799			cluster_1
UL29	E	1h	1	PK_15	PK_15_1h	17215.568862			cluster_1
UL29	E	2h	2	PK_15	PK_15_2h	48325.883447			cluster_1
UL29	E	4h	4	PK_15	PK_15_4h	21914.504326			cluster_1
UL29	E	6h	6	PK_15	PK_15_6h	12159.84384			cluster_1
UL29	E	8h	8	PK_15	PK_15_8h	12524.60145			cluster_1
UL30	E	12h	12	C6	C6_12h	440.716347			cluster_7
UL30	E	1h	1	C6	C6_1h	5218.525766			cluster_7
UL30	E	2h	2	C6	C6_2h	2033.553635			cluster_7
UL30	E	4h	4	C6	C6_4h	1134.429949			cluster_7
UL30	E	6h	6	C6	C6_6h	981.728933			cluster_7
