gene	Kinetic_class	hpi	Time	cell_line	mean	sd	varcoeff	y	ymin	ymax
UL31	L	6h	6	PC-12	0.021428737765748	0.00133772335483599	0.0624266053119671	0.021428737765748	0.0206564028267322	0.0222010727047638
UL31	L	6h	6	PK-15	0.0338584993039144	0.00160312356694537	0.0473477442858794	0.0338584993039144	0.0329329354809943	0.0347840631268345
UL31	L	8h	8	C6	0.0330454211884689	0.00237030074924616	0.071728568255419	0.0330454211884689	0.0316769274128313	0.0344139149641065
UL31	L	8h	8	PC-12	0.0438150568818274	0.0115715873471811	0.264100703518213	0.0438150568818274	0.0356327089995432	0.0519974047641116
UL31	L	8h	8	PK-15	0.0405661381044089	0.0025869512211523	0.0637711979014127	0.0405661381044089	0.0390725611204962	0.0420597150883216
UL31	L			C6	0			0		
UL31	L			PC-12	0			0		
UL31	L			PK-15	0			0		
UL32	L	0.5h	0.5	C6				0		
UL32	L	0.5h	0.5	PC-12	0	0		0	0	0
UL32	L	1.5h	1.5	PC-12	0	0		0	0	0
UL32	L	12h	12	C6	4.22751555624643e-05	3.67026684812921e-05	0.868185296847969	4.22751555624643e-05	2.10848600348127e-05	6.3465451090116e-05
UL32	L	12h	12	PC-12	0	0		0	0	0
UL32	L	12h	12	PK-15	1.33535238614118e-05	2.31289817880486e-05	1.73205080756888	1.33535238614118e-05	0	2.67070477228236e-05
UL32	L	1h	1	C6	0	0		0	0	0
UL32	L	1h	1	NRK	0	0		0	0	0
UL32	L	1h	1	PC-12	0	0		0	0	0
UL32	L	1h	1	PK-15	0	0		0	0	0
UL32	L	2.5h	2.5	PC-12	0	0		0	0	0
UL32	L	2h	2	C6	0	0		0	0	0
UL32	L	2h	2	NRK	0	0		0	0	0
UL32	L	2h	2	PC-12	0	0		0	0	0
UL32	L	2h	2	PK-15	0	0		0	0	0
UL32	L	4h	4	C6	0	0		0	0	0
